,img,fmeasure,pfmeasure,psnr,nrm,mpm,drd
0,2013_1,0.9645121887072547,0.9726878257581337,25.556114454351004,0.017192700604740048,7.305749750230461e-05,0.14366196005696982
1,2013_10,0.9792607540502554,0.9839865464234633,24.268656656773388,0.006828703742930589,0.00018563459161669016,0.0006609203521910771
2,2013_11,0.969604359156598,0.97343933816128,23.464474999774268,0.010830906538215276,0.002358372090384364,0.33371304792742573
3,2013_12,0.940975287759396,0.9619424746111885,18.404943995441894,0.039548983306963534,0.002708753105252981,0.12286347370249642
4,2013_13,0.9718338702000243,0.976774546258368,19.771703406479684,0.01073752434206142,0.0008690133690834045,0.13612900043766563
5,2013_14,0.8995833535196939,0.9060586550313208,16.068824457846457,0.024576049962888494,0.005338122136890888,0.1318407538540807
6,2013_15,0.9705926235378373,0.9889293290006115,19.11327901223299,0.02396648484757746,0.0004864180809818208,0.1892889700020137
7,2013_16,0.9230354513848089,0.9309858798842354,18.540149244959007,0.01781640404614276,0.0021868508774787188,0.25181529816750936
8,2013_2,0.9673232137126012,0.9835793675015161,23.63615399417955,0.023167942131341004,0.0005543201696127653,0.21512134708464145
9,2013_3,0.950735661016035,0.966462448407188,21.985863509095154,0.038035291771043145,0.00025726662715896964,0.1908690864529557
10,2013_4,0.8025618187216356,0.8059874615536751,16.351333842971968,0.017575505149714808,0.027273455634713173,0.16334375503816104
11,2013_5,0.6816316612336034,0.6828319184588786,15.40090717231396,0.017817156668177302,0.02842840924859047,0.2630111309936491
12,2013_6,0.9785738015837304,0.9873898033580593,25.429555867444655,0.011589198546560955,1.6064392184489407e-05,0.07019211518873905
13,2013_7,0.9276025446118877,0.9454008776854764,24.95673311293124,0.054507439141362524,7.97177926870063e-05,0.2780942066061881
14,2013_8,0.9336688974050983,0.9400626460406765,20.748361949346705,0.012542029236595031,0.01041998341679573,0.14792809083532218
15,2013_9,0.9489477026780605,0.9530265780875825,22.673133845064974,0.008454921603893373,0.0006522369221784174,0.3445945663528668
16,2017_1,0.8900066624460127,0.8972144559883192,16.880430721557317,0.06497967027162635,0.0006813949439674616,0.025605445855150098
17,2017_10,0.9515020512594291,0.9628936456114203,18.59267113253974,0.02942311671774823,0.002840269822627306,0.08493517640188997
18,2017_11,0.9765352544712153,0.985254158965332,21.955202046797268,0.014302445741715884,0.00013503138325177133,0.10023584084163578
19,2017_12,0.8856079391620809,0.8937474333966106,16.332947343100834,0.024302452891211305,0.008114010095596313,0.23440569076473258
20,2017_13,0.7377469655831124,0.741947484694212,13.0496373160403,0.03451088753215211,0.01625283993780613,0.34762955327366013
21,2017_14,0.9234007253381599,0.9310889984156603,19.086107283293593,0.015605321011572134,0.0022972077131271362,0.14558371418944685
22,2017_15,0.9614419421198316,0.9714103662153115,19.29250484414445,0.01869073885813635,0.00019449731917120516,0.12751265343231885
23,2017_16,0.7359670809911447,0.7399272480433252,14.14012974759827,0.027656771796674817,0.03944167122244835,0.0754967568216124
24,2017_17,0.9251930067739795,0.9302217937410227,20.833328948256078,0.014269790456496165,1.5413945220643654e-05,0.09638975049507885
25,2017_18,0.9026233953930222,0.951999877875413,17.261650446619534,0.060509634207801415,0.002513343235477805,0.4310460202395916
26,2017_19,0.9186352051736288,0.9487319054132369,19.14092401499264,0.03901849868670127,0.00022749125491827726,0.0
27,2017_2,0.9315073974678412,0.9515791079531987,18.613074988322605,0.04460335866719899,0.00035748883965425193,0.057880107156379326
28,2017_20,0.9313026235192741,0.9620946526508662,17.990190364503576,0.03924224741207272,0.0011474768398329616,0.0007032348228154806
29,2017_3,0.9274159481152002,0.94839668231818,19.482893830043402,0.041253977269492106,0.00037902730400674045,0.0711832471886747
30,2017_4,0.8465908667102603,0.8567809762571933,16.86471480415524,0.03355410665319984,0.007756063248962164,0.09331122506689896
31,2017_5,0.7945588649766816,0.7982478211625399,17.145780877442803,0.02093392471380573,0.006713558454066515,0.24095740261840523
32,2017_6,0.9195673822923179,0.978736898246289,14.699851846034802,0.06773425429027494,0.003844568505883217,0.7142700977419736
33,2017_7,0.9367452685197382,0.9717900400809923,15.876692843475295,0.04570310808406632,0.0010948056587949395,0.35164066350374085
34,2017_8,0.9354089876608952,0.9715143974986493,19.987012745303613,0.04158567352006926,0.000507173128426075,0.21461636739664933
35,2017_9,0.9152500754888525,0.9080698704660005,17.422571051318595,0.047688827802142175,0.007166443392634392,0.1237452689683038
36,2018_1,0.4978969710330995,0.5070017397683674,10.212382592266069,0.08521055588255708,0.07449917495250702,0.3860113614085895
37,2018_10,0.5833120069431308,0.6646875076332871,10.127069364215588,0.2836471194732068,0.03704126551747322,0.0
38,2018_2,0.5976543379084839,0.6235934855804744,13.038657838313556,0.12945737217890224,0.04209471866488457,0.16653291896352027
39,2018_3,0.8779515486047226,0.915080107230225,13.981439297865062,0.0695425249486463,0.04776633903384209,0.16326173662673682
40,2018_4,0.5705230549267247,0.5974309326438856,13.82318596308937,0.09649580721198216,0.021037468686699867,0.5751275346728459
41,2018_5,0.4813997411919409,0.5044752289273448,10.82372589621404,0.24637145092566468,0.06851768493652344,0.2552246172471266
42,2018_6,0.9178671720217073,0.9311732068466246,17.931884951482218,0.032531056000558806,0.007623548153787851,0.0005624383339564577
43,2018_7,0.7477616108422954,0.7531510365691032,16.124330873457314,0.024302542588194354,0.057377591729164124,0.11123768264247526
44,2018_8,0.9132410790441877,0.9318766551378056,17.06402792788618,0.04973711492049189,0.002808905206620693,0.2320471383527224
45,2018_9,0.6583746766223878,0.6615885508597099,11.113708585327524,0.05461620946673563,0.06050331890583038,7.038625094909149e-05
46,2019_1,0.7669475418144956,0.7407274520314171,16.06457631741074,0.07482331177481667,0.004490687046200037,0.24322345969632128
47,2019_10,0.7271825018131849,0.7255298009085109,14.049107438303851,0.027285930287551698,0.005337248090654612,0.3557454183306328
48,2019_2,0.6592294837631544,0.6411605091642373,16.37085025497192,0.09110466117839613,0.0040017422288656235,0.8762885879763623
49,2019_3,0.7145368794128317,0.7178068963690705,17.83532479099868,0.0281338083597778,0.009128724224865437,0.3518743022364013
50,2019_4,0.7889580618696008,0.8332007982211314,17.681029719043142,0.12703512992709975,0.0006766722071915865,0.0
51,2019_5,0.8100394067849285,0.802420711961943,15.020195675452435,0.041551192099436696,0.0003026979393325746,0.1113600152386999
52,2019_6,0.6111661057216394,0.6001217293802003,10.76027972497348,0.13177962327358253,0.017623500898480415,0.6262094007600865
53,2019_7,0.6629644978588203,0.6549936328487407,11.305486388397554,0.08099034858433954,0.03174782171845436,0.26969490416216113
54,2019_8,0.49132733825064834,0.4876714029550918,11.244784045539093,0.06262691025080457,0.020367993041872978,0.40099373908321323
55,2019_9,0.6540620148867572,0.6414174485869196,11.394160684625493,0.0937767781968519,0.021429426968097687,0.3361271048197523
